Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
happy,10123055.0,6986881.0,5904221.0,4781874.0,101745578.0,5852733.0,188429378.0,1067924439.0,466259648.0,585424941.0,2571219040.0,2588308202.0,2424207401.0,2575237703.0,870692998.0,914040871.0,2020050398.0,2499668846.0,2422941384.0,2434023643.0,2526117193.0,36685696.0,36439852.0,32938066.0,34056554.0,43925438.0,58861478.0,70206413.0,65477293.0,56464253.0,38322627.0,1773712804.0,909993434.0,104538560.0,213523312.0,440003707.0,824367310.0,2172314315.0,2591937127.0,2595967501.0,2555726653.0,2592409760.0,1821809707.0,1800087701.0,2482484489.0,2385118661.0,2599025821.0,2571978198.0,2600954820.0,440003707.0,824367310.0,2172314315.0,2591937127.0,2595967501.0,2555726653.0,2592409760.0,65477293.0,56464253.0,38322627.0,1773712804.0,909993434.0,104538560.0,213523312.0,36685696.0,36439852.0,32938066.0,34056554.0,43925438.0,58861478.0,70206413.0,870692998.0,914040871.0,2020050398.0,2499668846.0,2422941384.0,2434023643.0,2526117193.0,1067924439.0,466259648.0,585424941.0,2571219040.0,2588308202.0,2424207401.0,2575237703.0,578475.0,484167.0,431985.0,399656.0,1038998.0,389761.0,1437872.0,5981339.0,3841970.0,4448971.0,10122556.0,10167762.0,9733089.0,10135151.0,5348128.0,5520903.0,8529762.0,9910790.0,9669182.0,9706447.0,9988183.0,1098962.0,1094812.0,1037344.0,1048094.0,1181664.0,1363138.0,1488897.0,1477943.0,1380211.0,1136047.0,7974370.0,5555914.0,1866354.0,2651190.0,3845749.0,5238306.0,8964475.0,10176395.0,10187503.0,10079683.0,10178728.0,8027533.0,7974137.0,9861711.0,9531685.0,10195373.0,10115064.0,10199908.0,3845749.0,5238306.0,8964475.0,10176395.0,10187503.0,10079683.0,10178728.0,1477943.0,1380211.0,1136047.0,7974370.0,5555914.0,1866354.0,2651190.0,1098962.0,1094812.0,1037344.0,1048094.0,1181664.0,1363138.0,1488897.0,5348128.0,5520903.0,8529762.0,9910790.0,9669182.0,9706447.0,9988183.0,5981339.0,3841970.0,4448971.0,10122556.0,10167762.0,9733089.0,10135151.0
happy,11450940.0,7946990.0,6658455.0,5434640.0,98374110.0,6383013.0,183015362.0,1164856821.0,482131283.0,646548972.0,2499819691.0,2525571157.0,2299650336.0,2504385574.0,985787238.0,1000337120.0,1842856576.0,2413874912.0,2292474048.0,2320538294.0,2440567001.0,41551493.0,41124788.0,36718211.0,37486710.0,48441993.0,65292442.0,78171042.0,74315091.0,64047667.0,40993938.0,1711248099.0,1028521145.0,109628501.0,221124222.0,495979340.0,869300309.0,1954061505.0,2522941437.0,2535765013.0,2483079670.0,2535210701.0,1690493037.0,1676771008.0,2381508369.0,2192113122.0,2526351632.0,2478597747.0,2533535727.0,495979340.0,869300309.0,1954061505.0,2522941437.0,2535765013.0,2483079670.0,2535210701.0,74315091.0,64047667.0,40993938.0,1711248099.0,1028521145.0,109628501.0,221124222.0,41551493.0,41124788.0,36718211.0,37486710.0,48441993.0,65292442.0,78171042.0,985787238.0,1000337120.0,1842856576.0,2413874912.0,2292474048.0,2320538294.0,2440567001.0,1164856821.0,482131283.0,646548972.0,2499819691.0,2525571157.0,2299650336.0,2504385574.0,584794.0,489994.0,437835.0,404580.0,1014238.0,394625.0,1393406.0,5959815.0,3800573.0,4476898.0,9858633.0,9931189.0,9319000.0,9879358.0,5409886.0,5536396.0,7891752.0,9583762.0,9232154.0,9305816.0,9659483.0,1112381.0,1108882.0,1049729.0,1058612.0,1195787.0,1381676.0,1510182.0,1495229.0,1397235.0,1135378.0,7537855.0,5614677.0,1862159.0,2640598.0,3884174.0,5210393.0,8207485.0,9920791.0,9960435.0,9813132.0,9964517.0,7444963.0,7408524.0,9483633.0,8903198.0,9922864.0,9771279.0,9948159.0,3884174.0,5210393.0,8207485.0,9920791.0,9960435.0,9813132.0,9964517.0,1495229.0,1397235.0,1135378.0,7537855.0,5614677.0,1862159.0,2640598.0,1112381.0,1108882.0,1049729.0,1058612.0,1195787.0,1381676.0,1510182.0,5409886.0,5536396.0,7891752.0,9583762.0,9232154.0,9305816.0,9659483.0,5959815.0,3800573.0,4476898.0,9858633.0,9931189.0,9319000.0,9879358.0
happy,17167028.0,12115993.0,9894743.0,8294814.0,111905952.0,9221396.0,195681859.0,1650793939.0,581739488.0,949869450.0,2582897737.0,2592602212.0,2423860551.0,2579416255.0,1488503895.0,1411953445.0,2051225398.0,2521423719.0,2413219544.0,2435035359.0,2554496083.0,62790665.0,61591459.0,53734547.0,53711571.0,69678283.0,94597754.0,114398885.0,112822297.0,97173686.0,53793350.0,1986616151.0,1538677866.0,156048542.0,325464396.0,743525510.0,1091399630.0,2125822696.0,2600074011.0,2598825031.0,2574326370.0,2595509746.0,1979439475.0,1973441543.0,2505909687.0,2314398161.0,2601000000.0,2598660544.0,2601000000.0,743525510.0,1091399630.0,2125822696.0,2600074011.0,2598825031.0,2574326370.0,2595509746.0,112822297.0,97173686.0,53793350.0,1986616151.0,1538677866.0,156048542.0,325464396.0,62790665.0,61591459.0,53734547.0,53711571.0,69678283.0,94597754.0,114398885.0,1488503895.0,1411953445.0,2051225398.0,2521423719.0,2413219544.0,2435035359.0,2554496083.0,1650793939.0,581739488.0,949869450.0,2582897737.0,2592602212.0,2423860551.0,2579416255.0,745078.0,627871.0,556593.0,518330.0,1116026.0,501962.0,1452441.0,7380397.0,4305452.0,5612920.0,10155117.0,10179046.0,9724605.0,10145471.0,6921563.0,6824051.0,8561054.0,9990693.0,9675610.0,9738423.0,10079663.0,1422669.0,1410277.0,1317933.0,1315711.0,1491223.0,1731632.0,1902475.0,1913755.0,1782404.0,1341386.0,8353743.0,7109574.0,2257372.0,3238570.0,4933556.0,6024520.0,8784826.0,10197571.0,10194815.0,10131782.0,10186902.0,8319695.0,8300557.0,9953487.0,9379947.0,10200000.0,10194976.0,10200000.0,4933556.0,6024520.0,8784826.0,10197571.0,10194815.0,10131782.0,10186902.0,1913755.0,1782404.0,1341386.0,8353743.0,7109574.0,2257372.0,3238570.0,1422669.0,1410277.0,1317933.0,1315711.0,1491223.0,1731632.0,1902475.0,6921563.0,6824051.0,8561054.0,9990693.0,9675610.0,9738423.0,10079663.0,7380397.0,4305452.0,5612920.0,10155117.0,10179046.0,9724605.0,10145471.0
happy,5266012.0,3609899.0,3078330.0,2456836.0,64265484.0,3076850.0,135061057.0,559089608.0,296551301.0,302444781.0,2584673655.0,2594418272.0,2334038642.0,2564683333.0,454061604.0,490429356.0,1495629536.0,2527929776.0,2336554431.0,2375167533.0,2558929825.0,19201413.0,19311282.0,17779980.0,18552941.0,23863898.0,31788401.0,37769574.0,33959517.0,29531463.0,22036162.0,1134102587.0,467736804.0,60329448.0,124633147.0,228763179.0,493674037.0,1557952584.0,2597045295.0,2598934456.0,2581435395.0,2596724341.0,1184534089.0,1156602857.0,2510218006.0,2096983591.0,2597433430.0,2588804401.0,2599120017.0,228763179.0,493674037.0,1557952584.0,2597045295.0,2598934456.0,2581435395.0,2596724341.0,33959517.0,29531463.0,22036162.0,1134102587.0,467736804.0,60329448.0,124633147.0,19201413.0,19311282.0,17779980.0,18552941.0,23863898.0,31788401.0,37769574.0,454061604.0,490429356.0,1495629536.0,2527929776.0,2336554431.0,2375167533.0,2558929825.0,559089608.0,296551301.0,302444781.0,2584673655.0,2594418272.0,2334038642.0,2564683333.0,395578.0,331263.0,297186.0,273714.0,821544.0,273886.0,1190815.0,4105460.0,2962885.0,3111001.0,10157757.0,10182408.0,9502746.0,10107989.0,3658764.0,3895076.0,7009950.0,10009370.0,9500277.0,9601231.0,10087345.0,755541.0,762138.0,735596.0,751165.0,845896.0,970101.0,1055276.0,1010773.0,954733.0,837832.0,6089441.0,3825008.0,1400612.0,2008341.0,2645785.0,3923015.0,7288970.0,10188329.0,10193738.0,10148745.0,10189025.0,6065747.0,5991041.0,9966830.0,8839751.0,10188728.0,10162427.0,10194075.0,2645785.0,3923015.0,7288970.0,10188329.0,10193738.0,10148745.0,10189025.0,1010773.0,954733.0,837832.0,6089441.0,3825008.0,1400612.0,2008341.0,755541.0,762138.0,735596.0,751165.0,845896.0,970101.0,1055276.0,3658764.0,3895076.0,7009950.0,10009370.0,9500277.0,9601231.0,10087345.0,4105460.0,2962885.0,3111001.0,10157757.0,10182408.0,9502746.0,10107989.0
happy,16290109.0,11383488.0,9544144.0,7814229.0,138348918.0,9582897.0,226899041.0,1598670252.0,645583701.0,927673810.0,2591609100.0,2596633419.0,2493588364.0,2588935016.0,1410209092.0,1384173560.0,2215766335.0,2555828038.0,2483874836.0,2496062593.0,2573316564.0,59647148.0,59269640.0,53120500.0,54512185.0,70899742.0,95506719.0,114453960.0,106287578.0,92172497.0,56911810.0,2116518992.0,1464749565.0,168512187.0,354143361.0,705529814.0,1127115105.0,2307117682.0,2600527220.0,2600066052.0,2585839895.0,2598472743.0,2094147622.0,2085756561.0,2547144078.0,2426156754.0,2601000000.0,2596712951.0,2601000000.0,705529814.0,1127115105.0,2307117682.0,2600527220.0,2600066052.0,2585839895.0,2598472743.0,106287578.0,92172497.0,56911810.0,2116518992.0,1464749565.0,168512187.0,354143361.0,59647148.0,59269640.0,53120500.0,54512185.0,70899742.0,95506719.0,114453960.0,1410209092.0,1384173560.0,2215766335.0,2555828038.0,2483874836.0,2496062593.0,2573316564.0,1598670252.0,645583701.0,927673810.0,2591609100.0,2596633419.0,2493588364.0,2588935016.0,743179.0,624838.0,556714.0,515759.0,1226470.0,507689.0,1593413.0,7447360.0,4573967.0,5681498.0,10176554.0,10189077.0,9917062.0,10169500.0,6891176.0,6908962.0,9076853.0,10079758.0,9875218.0,9910279.0,10126130.0,1419922.0,1416618.0,1340072.0,1350413.0,1531192.0,1773299.0,1941376.0,1904880.0,1783731.0,1402338.0,8850582.0,7124837.0,2367885.0,3409197.0,4931534.0,6244317.0,9338888.0,10198890.0,10197920.0,10161189.0,10193783.0,8757174.0,8737693.0,10058998.0,9705840.0,10200000.0,10190233.0,10200000.0,4931534.0,6244317.0,9338888.0,10198890.0,10197920.0,10161189.0,10193783.0,1904880.0,1783731.0,1402338.0,8850582.0,7124837.0,2367885.0,3409197.0,1419922.0,1416618.0,1340072.0,1350413.0,1531192.0,1773299.0,1941376.0,6891176.0,6908962.0,9076853.0,10079758.0,9875218.0,9910279.0,10126130.0,7447360.0,4573967.0,5681498.0,10176554.0,10189077.0,9917062.0,10169500.0
happy,11349371.0,7866505.0,6554362.0,5367594.0,92683476.0,6109031.0,178116973.0,1193623239.0,462066341.0,635167495.0,2586874396.0,2594242312.0,2444517710.0,2571060592.0,974215512.0,981372119.0,2083962315.0,2551254104.0,2508034506.0,2511936453.0,2560215451.0,41034073.0,40422961.0,35709625.0,36092025.0,46583462.0,63093260.0,75766341.0,73540663.0,63345932.0,39640861.0,1874149863.0,1025667243.0,110795587.0,227763978.0,490111295.0,844513058.0,2224134308.0,2597192788.0,2598480104.0,2577843145.0,2597225241.0,1886733809.0,1868099881.0,2539486984.0,2475192831.0,2600266403.0,2581400088.0,2600811814.0,490111295.0,844513058.0,2224134308.0,2597192788.0,2598480104.0,2577843145.0,2597225241.0,73540663.0,63345932.0,39640861.0,1874149863.0,1025667243.0,110795587.0,227763978.0,41034073.0,40422961.0,35709625.0,36092025.0,46583462.0,63093260.0,75766341.0,974215512.0,981372119.0,2083962315.0,2551254104.0,2508034506.0,2511936453.0,2560215451.0,1193623239.0,462066341.0,635167495.0,2586874396.0,2594242312.0,2444517710.0,2571060592.0,619107.0,518771.0,463242.0,428054.0,1008292.0,414087.0,1394353.0,6389413.0,3848807.0,4697821.0,10163034.0,10182750.0,9799210.0,10126868.0,5722572.0,5784335.0,8812829.0,10055356.0,9925226.0,9933829.0,10082983.0,1176233.0,1168401.0,1097635.0,1099767.0,1243858.0,1443748.0,1581741.0,1581943.0,1475780.0,1163987.0,8259607.0,5954453.0,1943857.0,2776046.0,4098343.0,5323198.0,9192050.0,10190262.0,10193500.0,10137781.0,10190645.0,8284449.0,8236921.0,10018664.0,9818381.0,10198063.0,10146052.0,10199514.0,4098343.0,5323198.0,9192050.0,10190262.0,10193500.0,10137781.0,10190645.0,1581943.0,1475780.0,1163987.0,8259607.0,5954453.0,1943857.0,2776046.0,1176233.0,1168401.0,1097635.0,1099767.0,1243858.0,1443748.0,1581741.0,5722572.0,5784335.0,8812829.0,10055356.0,9925226.0,9933829.0,10082983.0,6389413.0,3848807.0,4697821.0,10163034.0,10182750.0,9799210.0,10126868.0
happy,16450307.0,11502117.0,9622527.0,7896468.0,138709490.0,9631386.0,229510711.0,1610370338.0,648647317.0,934821396.0,2591172071.0,2597002557.0,2496910422.0,2589778989.0,1424925689.0,1395448079.0,2211127134.0,2548847376.0,2477326688.0,2485748061.0,2567364073.0,60277651.0,59880509.0,53623206.0,54951949.0,71496505.0,96330487.0,115485487.0,107413365.0,93123402.0,57204660.0,2114530957.0,1478984912.0,167710562.0,354167638.0,712614469.0,1134677891.0,2301268948.0,2599833333.0,2599787942.0,2585085269.0,2599046322.0,2086054655.0,2077623257.0,2536656264.0,2419441275.0,2601000000.0,2594792107.0,2601000000.0,712614469.0,1134677891.0,2301268948.0,2599833333.0,2599787942.0,2585085269.0,2599046322.0,107413365.0,93123402.0,57204660.0,2114530957.0,1478984912.0,167710562.0,354167638.0,60277651.0,59880509.0,53623206.0,54951949.0,71496505.0,96330487.0,115485487.0,1424925689.0,1395448079.0,2211127134.0,2548847376.0,2477326688.0,2485748061.0,2567364073.0,1610370338.0,648647317.0,934821396.0,2591172071.0,2597002557.0,2496910422.0,2589778989.0,745691.0,627027.0,558437.0,517658.0,1234738.0,509428.0,1606121.0,7462934.0,4592597.0,5700250.0,10175417.0,10190199.0,9928384.0,10172241.0,6916487.0,6933415.0,9056360.0,10061372.0,9853326.0,9877727.0,10112559.0,1425427.0,1422233.0,1345530.0,1355625.0,1537369.0,1780267.0,1949047.0,1911835.0,1790158.0,1407040.0,8835409.0,7149056.0,2372520.0,3418816.0,4949075.0,6267423.0,9314292.0,10197177.0,10197014.0,10159129.0,10195316.0,8728667.0,8709123.0,10028358.0,9677791.0,10200000.0,10185895.0,10200000.0,4949075.0,6267423.0,9314292.0,10197177.0,10197014.0,10159129.0,10195316.0,1911835.0,1790158.0,1407040.0,8835409.0,7149056.0,2372520.0,3418816.0,1425427.0,1422233.0,1345530.0,1355625.0,1537369.0,1780267.0,1949047.0,6916487.0,6933415.0,9056360.0,10061372.0,9853326.0,9877727.0,10112559.0,7462934.0,4592597.0,5700250.0,10175417.0,10190199.0,9928384.0,10172241.0
happy,7587178.0,5189658.0,4460281.0,3539630.0,92757406.0,4560638.0,176534669.0,802462092.0,427832599.0,436861016.0,2318256483.0,2379083955.0,2159261255.0,2379451467.0,654235080.0,710578067.0,1562265968.0,2188444555.0,2092535041.0,2100711904.0,2208885638.0,27702568.0,27939846.0,25849618.0,27147115.0,34991639.0,46583814.0,55271881.0,48868080.0,42598698.0,32183315.0,1380483711.0,674503377.0,87569357.0,181157515.0,329555813.0,704396771.0,1622441332.0,2343117785.0,2396264220.0,2271314053.0,2405432424.0,1322506275.0,1305126810.0,2125738728.0,1910548591.0,2337828315.0,2216473567.0,2370499117.0,329555813.0,704396771.0,1622441332.0,2343117785.0,2396264220.0,2271314053.0,2405432424.0,48868080.0,42598698.0,32183315.0,1380483711.0,674503377.0,87569357.0,181157515.0,27702568.0,27939846.0,25849618.0,27147115.0,34991639.0,46583814.0,55271881.0,654235080.0,710578067.0,1562265968.0,2188444555.0,2092535041.0,2100711904.0,2208885638.0,802462092.0,427832599.0,436861016.0,2318256483.0,2379083955.0,2159261255.0,2379451467.0,443378.0,370840.0,334851.0,306612.0,953584.0,311406.0,1347713.0,4595280.0,3393403.0,3501376.0,9212739.0,9397781.0,8776427.0,9406621.0,4101638.0,4395275.0,6847432.0,8736547.0,8432417.0,8454932.0,8814128.0,848498.0,859022.0,834158.0,856329.0,966469.0,1108192.0,1203985.0,1132566.0,1073914.0,955021.0,6396435.0,4302793.0,1593151.0,2290665.0,2969811.0,4449165.0,7025432.0,9286721.0,9451176.0,9081817.0,9489752.0,6101437.0,6059624.0,8479886.0,7856603.0,9242851.0,8810547.0,9359261.0,2969811.0,4449165.0,7025432.0,9286721.0,9451176.0,9081817.0,9489752.0,1132566.0,1073914.0,955021.0,6396435.0,4302793.0,1593151.0,2290665.0,848498.0,859022.0,834158.0,856329.0,966469.0,1108192.0,1203985.0,4101638.0,4395275.0,6847432.0,8736547.0,8432417.0,8454932.0,8814128.0,4595280.0,3393403.0,3501376.0,9212739.0,9397781.0,8776427.0,9406621.0
happy,12116890.0,8398538.0,7055250.0,5746713.0,106794405.0,6788090.0,196113250.0,1235886543.0,516536560.0,692438336.0,2591839490.0,2597943801.0,2454587134.0,2580789138.0,1042044153.0,1059702698.0,1998737883.0,2554813803.0,2489118019.0,2501630123.0,2568345944.0,43928295.0,43501525.0,38885627.0,39848836.0,51636219.0,69621804.0,83322118.0,78553990.0,67768180.0,43506132.0,1822821142.0,1093297405.0,125949535.0,267178474.0,524588321.0,914150302.0,2111881991.0,2598104176.0,2599748662.0,2586465989.0,2598928250.0,1821697832.0,1805954952.0,2548247456.0,2425054409.0,2600797915.0,2588975241.0,2601000000.0,524588321.0,914150302.0,2111881991.0,2598104176.0,2599748662.0,2586465989.0,2598928250.0,78553990.0,67768180.0,43506132.0,1822821142.0,1093297405.0,125949535.0,267178474.0,43928295.0,43501525.0,38885627.0,39848836.0,51636219.0,69621804.0,83322118.0,1042044153.0,1059702698.0,1998737883.0,2554813803.0,2489118019.0,2501630123.0,2568345944.0,1235886543.0,516536560.0,692438336.0,2591839490.0,2597943801.0,2454587134.0,2580789138.0,625600.0,524204.0,468002.0,432659.0,1073949.0,422038.0,1465902.0,6382675.0,4046006.0,4808322.0,10177208.0,10192515.0,9826908.0,10149950.0,5785463.0,5911096.0,8540745.0,10074739.0,9887593.0,9920251.0,10112742.0,1189783.0,1185165.0,1120503.0,1130242.0,1278509.0,1479292.0,1617592.0,1599118.0,1493578.0,1206596.0,8067464.0,6010635.0,2022877.0,2917334.0,4152377.0,5516306.0,8872697.0,10192494.0,10196902.0,10161765.0,10195010.0,8039068.0,7996962.0,10055898.0,9703673.0,10199531.0,10166317.0,10200000.0,4152377.0,5516306.0,8872697.0,10192494.0,10196902.0,10161765.0,10195010.0,1599118.0,1493578.0,1206596.0,8067464.0,6010635.0,2022877.0,2917334.0,1189783.0,1185165.0,1120503.0,1130242.0,1278509.0,1479292.0,1617592.0,5785463.0,5911096.0,8540745.0,10074739.0,9887593.0,9920251.0,10112742.0,6382675.0,4046006.0,4808322.0,10177208.0,10192515.0,9826908.0,10149950.0
happy,5256156.0,3601432.0,3074836.0,2451696.0,65549615.0,3079031.0,136511750.0,557859797.0,296476242.0,301886211.0,2586948493.0,2597273315.0,2344138629.0,2568571005.0,453034960.0,489705847.0,1501902090.0,2531121355.0,2340886711.0,2380560136.0,2562295814.0,19156178.0,19271081.0,17752716.0,18528697.0,23844280.0,31760591.0,37725039.0,33876845.0,29456464.0,21985201.0,1136249030.0,467025652.0,60128759.0,124594791.0,228261702.0,492454192.0,1564179106.0,2598046368.0,2599231560.0,2581965419.0,2597325340.0,1190673108.0,1162470827.0,2514167210.0,2100071552.0,2597629111.0,2591395926.0,2599346041.0,228261702.0,492454192.0,1564179106.0,2598046368.0,2599231560.0,2581965419.0,2597325340.0,33876845.0,29456464.0,21985201.0,1136249030.0,467025652.0,60128759.0,124594791.0,19156178.0,19271081.0,17752716.0,18528697.0,23844280.0,31760591.0,37725039.0,453034960.0,489705847.0,1501902090.0,2531121355.0,2340886711.0,2380560136.0,2562295814.0,557859797.0,296476242.0,301886211.0,2586948493.0,2597273315.0,2344138629.0,2568571005.0,396078.0,331606.0,297584.0,273984.0,825531.0,274473.0,1195072.0,4109843.0,2967010.0,3115359.0,10164413.0,10190345.0,9530077.0,10119463.0,3662626.0,3899667.0,7032648.0,10018883.0,9514937.0,9621112.0,10097810.0,756228.0,762901.0,736562.0,752107.0,847102.0,971639.0,1056885.0,1011843.0,955500.0,838017.0,6101878.0,3829714.0,1399723.0,2008685.0,2648454.0,3922606.0,7309060.0,10191438.0,10195120.0,10151359.0,10191078.0,6087482.0,6012305.0,9979904.0,8851468.0,10189785.0,10170266.0,10195337.0,2648454.0,3922606.0,7309060.0,10191438.0,10195120.0,10151359.0,10191078.0,1011843.0,955500.0,838017.0,6101878.0,3829714.0,1399723.0,2008685.0,756228.0,762901.0,736562.0,752107.0,847102.0,971639.0,1056885.0,3662626.0,3899667.0,7032648.0,10018883.0,9514937.0,9621112.0,10097810.0,4109843.0,2967010.0,3115359.0,10164413.0,10190345.0,9530077.0,10119463.0
